Square Footage of Unique Dorms,Unique Dorms,Selection Time (Individual) 2023,Selection Time (Group) 2023,2023 Selection Time,Selection Time (Individual) 2024,Selection Time (Group) 2024,2024 Selection Time,Selection Time (Individual) 2025,Selection Time (Group) 2025,2025 Selection Time,Occupancy,AC
136,Clark III - 106,4/11/2023 21:45,4/11/2023 17:12,4/11/2023 17:12,,4/11/2024 17:06,4/11/2024 17:06,,,,1,FALSE
143,Clark III - 107,4/11/2023 17:51,4/11/2023 21:15,4/11/2023 17:51,4/9/2024 19:09,4/10/2024 19:12,4/9/2024 19:09,4/8/2025 19:33,No Selection Time Issued,4/8/2025 19:33,1,FALSE
111,Clark III - 111,4/11/2023 19:03,4/12/2023 17:57,4/11/2023 19:03,4/9/2024 19:45,4/9/2024 17:12,4/9/2024 17:12,,,,1,FALSE
288,Clark III - 112,4/12/2023 19:30,4/11/2023 17:21,4/11/2023 17:21,4/10/2024 18:21,4/11/2024 17:27,4/10/2024 18:21,4/9/2025 17:24,4/9/2025 17:24,4/9/2025 17:24,2,FALSE
161,Clark III - 113,4/11/2023 20:09,4/11/2023 20:45,4/11/2023 20:09,4/9/2024 19:51,No Selection Time Issued,4/9/2024 19:51,,,,1,FALSE
161,Clark III - 114,4/11/2023 20:00,4/11/2023 17:27,4/11/2023 17:27,4/9/2024 18:54,4/9/2024 19:42,4/9/2024 18:54,4/8/2025 18:57,No Selection Time Issued,4/8/2025 18:57,1,FALSE
161,Clark III - 115,4/11/2023 18:27,4/11/2023 18:36,4/11/2023 18:27,4/9/2024 19:48,4/9/2024 17:15,4/9/2024 17:15,,,,1,FALSE
246,Clark III - 116,4/12/2023 18:39,4/11/2023 17:09,4/11/2023 17:09,4/10/2024 18:24,4/9/2024 18:18,4/9/2024 18:18,4/9/2025 17:57,4/9/2025 17:57,4/9/2025 17:57,2,FALSE
225,Clark III - 117,4/12/2023 20:39,4/11/2023 17:33,4/11/2023 17:33,4/10/2024 19:06,4/10/2024 17:36,4/10/2024 17:36,,,,2,FALSE
147,Clark III - 119,4/11/2023 20:21,No Selection Time Issued,4/11/2023 20:21,4/9/2024 19:36,4/9/2024 17:57,4/9/2024 17:57,,,,1,FALSE
211,Clark III - 120,4/12/2023 20:45,4/11/2023 17:57,4/11/2023 17:57,4/10/2024 20:06,,4/10/2024 20:06,4/10/2025 19:45,4/10/2025 19:45,4/10/2025 19:45,2,FALSE
164,Clark III - 121,4/11/2023 20:03,4/13/2023 17:00,4/11/2023 20:03,,4/9/2024 17:06,4/9/2024 17:06,,,,1,FALSE
172,Clark III - 122,4/11/2023 19:30,4/13/2023 17:57,4/11/2023 19:30,4/9/2024 18:00,4/9/2024 17:33,4/9/2024 17:33,4/8/2025 18:36,No Selection Time Issued,4/8/2025 18:36,1,FALSE
262,Clark III - 123,4/12/2023 19:09,4/11/2023 17:39,4/11/2023 17:39,4/10/2024 20:06,,4/10/2024 20:06,4/9/2025 19:48,4/9/2025 19:48,4/9/2025 19:48,2,FALSE
184,Clark III - 200,4/11/2023 18:33,No Selection Time Issued,4/11/2023 18:33,,,,4/8/2025 17:57,No Selection Time Issued,4/8/2025 17:57,1,FALSE
161,Clark III - 201,4/11/2023 19:00,4/13/2023 17:06,4/11/2023 19:00,,,,4/8/2025 18:51,No Selection Time Issued,4/8/2025 18:51,1,FALSE
162,Clark III - 202,4/11/2023 18:39,No Selection Time Issued,4/11/2023 18:39,,4/9/2024 17:51,4/9/2024 17:51,4/8/2025 18:18,No Selection Time Issued,4/8/2025 18:18,1,FALSE
130,Clark III - 203,4/11/2023 20:18,4/13/2023 17:00,4/11/2023 20:18,4/9/2024 21:53,,4/9/2024 21:53,4/8/2025 20:54,No Selection Time Issued,4/8/2025 20:54,1,FALSE
124,Clark III - 204,4/11/2023 18:21,No Selection Time Issued,4/11/2023 18:21,,,,4/8/2025 21:15,No Selection Time Issued,4/8/2025 21:15,1,FALSE
